"tree","truev","ucld","arc6","arc7"
1,1994.56339274045,1993.74572868355,1994.32589897351,1994.21790059326
2,1993.19425563095,1991.05791179721,1991.42618250359,1991.23407999793
3,1995.56708099375,1995.0752984975,1995.48027795057,1995.45888658904
4,1982.72724776507,1985.82577308749,1983.6919331461,1983.6024018042
5,1998.28172007791,1996.7094030818,1997.32089010005,1997.27984417559
6,1993.43082719493,1993.45302149604,1993.89326615686,1993.73396165002
7,1980.60224126329,1978.92646210655,1977.84798105116,1977.00419814546
8,1988.98517714124,1989.93461537387,1989.33281001558,1989.24950288993
9,1991.47448083868,1989.52374033158,1990.02660141042,1989.80505691633
10,1986.04824401946,1990.24163800872,1989.2422428206,1988.90739180835
11,1993.01136871774,1991.84903211472,1993.28277450788,1993.23998603288
12,1989.94510539078,1989.38463081438,1988.78746425289,1988.59882755039
13,1988.49833201856,1988.29545037352,1989.47048905141,1989.27628721073
14,1992.24054940161,1989.71087419051,1991.83310475735,1991.53504611723
15,1990.22263227622,1989.09485919517,1990.1266561252,1989.42670760025
16,1991.9241719796,1990.34540743667,1992.41688110152,1991.95549712891
17,1978.93788287144,1981.95488053744,1978.27499447138,1976.7292840876
18,1992.91531546747,1992.47422160909,1993.81958601806,1993.76996721208
19,1989.29424667969,1989.71856565506,1990.14985706797,1990.09933653862
20,1995.60423610194,1993.00704120541,1994.84677711105,1994.71693613578
21,1987.05796544691,1991.68203618188,1989.87184766677,1989.52752836313
22,1990.24082209176,1991.79433630614,1990.14254002432,1990.48585603277
23,1991.17293551824,1993.23217516513,1992.93902346159,1992.78441553613
24,1986.56334800415,1989.52127485016,1987.01050440945,1986.54859567131
25,1974.60989831683,1982.15765121799,1975.88630074406,1975.35613273058
26,1994.39994528295,1992.8002312248,1993.97851465008,1993.44015773555
27,1997.05895588935,1995.60024724489,1996.46249232866,1996.30323879729
28,1983.66075387494,1987.60915110249,1987.13906240491,1986.40779549694
29,1990.71535726135,1987.27844575531,1987.99700377078,1987.60646832875
30,1993.20310049045,1992.23384696475,1992.67769133886,1991.96048975017
31,1987.95452014432,1987.3946530338,1986.53087877725,1985.89129889532
32,1993.92934197114,1992.09655739394,1994.28650973621,1994.21564855535
33,1992.97609526411,1990.58698386106,1992.28458584397,1992.07242474055
34,1995.0651897964,1991.41949775009,1993.60198811393,1993.39999262053
35,1994.20385233707,1993.62506173775,1995.29850671668,1994.9208664898
36,1987.13162284531,1987.50698122703,1986.11004538346,1985.92911162981
37,1994.45657613059,1991.53727269755,1994.81793507565,1994.18934860085
38,1994.81463615979,1994.06219240855,1996.58752921742,1996.47320996033
39,1988.62915342531,1989.48344493544,1989.51539476441,1988.91234146223
