"tree","truev","ucld","arc"
101,2004.56339274045,2004.06969787968,2004.10179037249
102,2003.19425563095,2002.97989509569,2003.03539709668
103,2005.56708099375,2005.01156965353,2005.00821457351
104,1992.72724776507,1995.70113835397,1994.78662943395
105,2008.28172007791,2007.69406731937,2007.96224059587
106,2003.43082719493,2000.5298039206,2000.67343179391
107,1990.60224126329,1988.56746469325,1988.34449571943
108,1998.98517714124,1997.4467936547,1996.98061380087
109,2001.47448083868,1999.36154106924,1998.70847579605
110,1996.04824401946,1997.4798344452,1997.34035891333
111,2003.01136871774,2003.68243686411,2004.22001850696
112,1999.94510539078,1998.59953614704,1998.52470988409
113,1998.49833201856,1998.41774376219,1998.68671266579
114,2002.24054940161,2001.07822672885,2001.32522911973
115,2000.22263227622,1999.77296978225,1999.91992229454
116,2001.9241719796,2001.09324167916,2002.12760818604
117,1988.93788287144,1991.90733224476,1992.22652963934
118,2002.91531546747,2002.61026417705,2004.24884266906
119,1999.29424667969,1997.23317264545,1998.69362964822
120,2005.60423610194,2003.47740488925,2004.94342734392
121,1997.05796544691,1996.88991944512,1997.12399394246
122,2000.24082209176,1999.70194664092,1999.02817846388
123,2001.17293551824,2000.95842415525,2001.02563195865
124,1996.56334800415,2000.18874875191,1993.82052980364
125,1984.60989831683,1991.84837487958,1988.55933267287
126,2004.39994528295,2002.95734100465,2003.74802447668
127,2007.05895588935,2004.89235426686,2005.66652732005
128,1993.66075387494,2001.20252424859,1995.25149432387
129,2000.71535726135,1998.47678934678,1998.84110643559
130,2003.20310049045,2000.96365654084,2001.41486728127
131,1997.95452014432,1996.51507648839,1996.10689382557
132,2003.92934197114,2002.13176846435,2003.63918155367
133,2002.97609526411,2001.45075108418,2001.79515689394
134,2005.0651897964,2000.80530070228,2002.75840777264
135,2004.20385233707,2004.38078303664,2005.78186632336
136,1997.13162284531,1996.05267516107,1993.33419832807
137,2004.45657613059,2004.63517154895,2005.97340722827
138,2004.81463615979,2003.46641610327,2005.49473087722
139,1998.62915342531,1999.46650687494,2000.19410814494
140,1998.37903307845,1998.27246197476,1995.87833149322
141,2002.86322366229,2000.71564772546,2000.97318699046
142,2004.58894081404,2002.29058807123,2003.40595213148
143,2006.89198255574,2004.15297723365,2006.58100421011
144,2004.8624550323,2002.60210320219,2003.88923286763
145,2002.83864134533,2001.40462953505,2002.09820940127
146,2002.37787783202,1997.85258470584,1998.94722617375
147,1997.26264148029,2003.60774754366,2003.67048355309
148,2005.49369678851,2002.78595153642,2005.67376059438
149,1989.67991365313,1992.58592319376,1983.34394881913
150,2004.28127238865,1999.85343948359,2002.28472327106
151,1997.47151518651,1998.87011065723,1998.7093748137
152,2006.93835315588,2004.02180363105,2005.28655840251
153,2003.74782793358,2001.34175028172,2003.76387665812
154,2003.54338519981,2001.67627164097,2003.56495212818
155,1998.05400162243,1996.6082372103,1990.66318501265
156,1996.38123422171,1996.86349147786,1996.12828129401
157,2001.90018861078,2001.89880360684,2003.05348335413
158,2004.38082441995,2001.4994836397,2003.07241766417
159,2001.26246146747,1996.74414989282,1998.47382897727
160,1997.85412750201,1999.53231143092,1995.65973432066
161,2002.03514423925,2000.68885235368,2002.79693399517
162,1988.28636218489,1997.31153457864,1989.95844588908
163,2004.82866433756,2004.56130924057,2006.68975307358
164,1996.11880328942,1999.25538019664,1997.95624050561
165,2006.65217585605,2004.7436778085,2005.43684534355
166,2003.69839692813,2002.56456710016,2004.37745606352
167,2005.16952978007,2000.97532191785,2003.80244370787
168,2001.75122460761,1999.76489252357,2001.17546021402
169,2003.62767505501,1998.94867172493,2002.21705043095
170,1998.95096916697,2001.07214616654,1999.32576428399
171,2007.58793207508,2002.98470208541,2005.92417556542
172,1993.44653048468,1999.59886646345,1995.09269799679
173,2003.79859109526,2002.33889375142,2002.89402421577
174,2005.45917866514,2003.04963065167,2003.91176660462
175,2002.60003550772,2000.64521512069,2001.23112361053
176,2006.31372968033,2004.87487862807,2006.79757415426
177,2003.83394162606,2002.83173696248,2002.15423406375
178,2002.64483576273,2001.90101961395,2003.51602640733
179,2005.2723623494,2003.5800151122,2005.10914136098
180,2001.95382592549,1999.39661415918,1999.65411028473
181,2004.09562215555,2001.23120215193,2000.61996942243
182,1996.39565961769,1998.8012067699,1998.35720771114
183,2000.27596450739,2002.42044332766,1996.08607831879
184,1990.17880135,1998.93284303312,1997.58002097269
185,2000.78666347065,2002.24537657997,2002.64412522395
186,2002.40191371382,2002.14661860252,2002.04480086446
187,2003.43242102665,2000.2709930738,2001.65270490826
188,2005.00450178832,1997.74838764204,1999.35841946008
189,1999.85664797561,2000.63438208707,2001.17858012306
190,1998.84650644969,2003.03797741708,2002.81658282868
191,2007.06882032271,2000.94689388923,2001.46732849116
192,2003.41736796509,2000.98123331732,2003.38667762727
193,2001.84190207918,2003.28696480896,2005.77765772769
194,2004.94822363333,2002.67989407741,2005.71934218138
195,2002.64794126253,2002.91752959175,1998.26153838665
196,1991.8169718745,1998.64382250027,1993.82638501847
197,2006.17929789577,2001.55018633778,2005.23971855006
198,1994.46865715763,1995.54903841025,1987.63062504528
199,2002.04395671505,2002.00446633563,2002.14814493106
200,2002.35663054229,2003.81087665842,2000.62836987294
