#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="coalescent" spec="beast.evolution.tree.coalescent.Coalescent">
#        <populationModel id="ConstantPopulation" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#            <parameter id="popSize" name="popSize" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </populationModel>
#        <treeIntervals id="TreeIntervals" spec="beast.evolution.tree.coalescent.TreeIntervals">
#            <tree clusterType="upgma" id="tree" spec="beast.util.ClusterTree">
#            </tree>
#        </treeIntervals>
#    </distribution>
#    <distribution data="@alignment" id="treeLikelihood" spec="beast.evolution.likelihood.TreeLikelihood" tree="@tree">
#        <siteModel id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#            <substModel id="hky" spec="beast.evolution.substitutionmodel.HKY">
#                <parameter id="hky.kappa" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <frequencies data="@alignment" id="freqs" spec="beast.evolution.substitutionmodel.Frequencies"/>
#            </substModel>
#        </siteModel>
#        <branchRateModel id="branchRates" spec="beast.evolution.branchratemodel.RandomLocalClockModel" tree="@tree">
#            <indicators dimension="10" id="indicators" spec="beast.core.parameter.BooleanParameter">false</indicators>
#            <parameter dimension="10" id="rates" lower="0.0" name="rates" spec="beast.core.parameter.RealParameter" upper="100.0">1.0</parameter>
#        </branchRateModel>
#    </distribution>
#</input>
#
Sample	coalescent	treeLikelihood	tree.height	popSize	hky.kappa	indicators1	indicators2	indicators3	indicators4	indicators5	indicators6	indicators7	indicators8	indicators9	indicators10	rates1	rates2	rates3	rates4	rates5	rates6	rates7	rates8	rates9	rates10	posterior
0	-0.3456911654296435	-1953.4915479842075	0.053404772963347204	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-1953.837239149637
100	-0.9036841423285565	-1857.2333889379267	0.053404772963347204	1.1046883686545566	3.8255207206750144	0	0	0	0	0	0	0	0	0	0	1.0	1.257982059693128	1.4309938994985603	1.0	1.0	1.0	1.0	1.0	1.7372483841056139	0.8001731451713554	-1858.1370730802553
200	0.2808340575703931	-1818.723706410554	0.05684054500636935	0.8684483992243203	14.65780501603242	0	0	0	0	0	0	0	0	0	0	1.0	1.257982059693128	1.4309938994985603	1.0	0.5927185107464987	1.0	1.0	1.044666436198157	1.7372483841056139	0.8001731451713554	-1818.4428723529836
300	0.5098965808703297	-1814.5638617535183	0.06763538911541052	0.8162102105643676	28.39175306913436	0	0	0	0	0	1	0	0	0	1	1.0	1.257982059693128	1.4309938994985603	1.0	0.5927185107464987	1.0	1.0	0.9227997059367135	1.7372483841056139	0.8001731451713554	-1814.0539651726478
400	3.5828825878708606	-1815.9060043024908	0.06763538911541052	0.3988860267731324	28.972158756559832	0	0	0	0	0	1	0	0	0	0	1.0	1.257982059693128	1.4309938994985603	1.0	0.5927185107464987	1.0	1.269031646842561	0.9227997059367135	1.7372483841056139	0.8001731451713554	-1812.32312171462
500	4.690648782031766	-1814.5595187794756	0.06763538911541052	0.3058920885386911	44.39605256671087	0	0	0	0	0	1	0	0	0	0	1.0	1.257982059693128	1.4309938994985603	1.0	0.5927185107464987	1.0	1.269031646842561	0.9227997059367135	1.7372483841056139	0.8001731451713554	-1809.8688699974439
600	4.626742928779651	-1813.781983064233	0.058715871957455625	0.3058920885386911	21.804303933171674	0	0	0	1	0	1	0	0	0	0	1.0	1.9266434286754555	1.4309938994985603	1.0	0.5927185107464987	1.0	1.269031646842561	1.3184674861681864	1.7372483841056139	0.8852613336391774	-1809.1552401354534
700	5.90902914968262	-1815.132915636997	0.058715871957455625	0.19611934439133955	24.764379899548462	0	0	0	1	0	1	0	0	0	1	1.0	1.9266434286754555	2.5461870326142066	0.9560489891986131	1.9453503629955058	1.0	1.269031646842561	1.3184674861681864	1.7372483841056139	0.8852613336391774	-1809.2238864873145
800	6.295951822690348	-1814.3300509035994	0.06827207666959934	0.16859699869920852	40.33984267277542	0	0	0	0	0	1	0	0	0	1	1.0	2.9290497007619583	2.5461870326142066	0.9560489891986131	1.9453503629955058	1.0	1.269031646842561	1.3184674861681864	1.7372483841056139	0.8852613336391774	-1808.034099080909
900	7.188313694577128	-1816.1472335519302	0.061659318389400516	0.14769200310357136	51.30844204855916	0	0	0	0	0	0	0	0	0	0	1.0	2.9290497007619583	3.509124660979874	0.9560489891986131	1.9453503629955058	1.0	1.269031646842561	1.3184674861681864	1.7372483841056139	1.0924757386875457	-1808.958919857353
